PTID,time,true_value,predicted_value,variance,lower_bound,upper_bound,coverage,interval_width,mae,mse,rmse,r2,mean_coverage,mean_interval_width,roi_idx
002_S_0295,0.0,0.18751028,0.25124574,0.084862664,-0.33137822,0.8338697,1,1.1652479,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_0295,15.0,0.24229169,0.3531941,0.08478476,-0.22916237,0.9355506,1,1.1647129,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_0295,37.0,0.39461717,0.5199238,0.08491291,-0.06287259,1.1027203,1,1.1655929,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_0295,49.0,0.4542409,0.6226196,0.08505727,0.03932804,1.2059112,1,1.1665831,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_0295,61.0,0.5474021,0.7337804,0.085233584,0.14988458,1.3176762,1,1.1677916,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,0.0,0.19720039,0.07959597,0.0848328,-0.50292546,0.6621174,1,1.1650429,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,7.0,0.29333737,0.119242325,0.08475514,-0.4630124,0.701497,1,1.1645094,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,15.0,0.32695803,0.16620162,0.084740475,-0.41600272,0.74840593,1,1.1644087,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,22.0,0.41436145,0.20926976,0.084747806,-0.3729598,0.7914993,1,1.1644591,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,32.0,0.39759263,0.27461204,0.08477028,-0.3076947,0.8569188,1,1.1646135,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,44.0,0.35745385,0.3596993,0.0848266,-0.22280085,0.94219947,1,1.1650003,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,55.0,0.50100434,0.44424865,0.08492084,-0.13857499,1.0270723,1,1.1656473,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,67.0,0.53759444,0.54207313,0.08507152,-0.041267335,1.1254137,1,1.166681,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,80.0,0.5031014,0.65125793,0.08529146,0.067163885,1.235352,1,1.1681881,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,92.0,0.5989845,0.74998647,0.08556701,0.16494966,1.3350233,1,1.1700736,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,120.0,0.79375094,0.9419927,0.08665533,0.35324717,1.5307382,1,1.1774911,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,133.0,0.97935796,0.99943864,0.087446645,0.40801108,1.5908662,1,1.1828551,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1155,145.0,1.0870966,1.0298002,0.08856292,0.4346097,1.6249907,1,1.190381,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,0.0,-0.033356596,-0.014896318,0.084868446,-0.59754014,0.5677475,1,1.1652876,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,7.0,-0.024031874,0.030868888,0.084775284,-0.551455,0.6131928,1,1.1646478,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,16.0,0.023929272,0.08770053,0.08474381,-0.49451524,0.66991633,1,1.1644316,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,24.0,0.19228238,0.13620475,0.08476509,-0.44608417,0.7184937,1,1.1645778,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,37.0,0.23190144,0.21101141,0.08487548,-0.37165654,0.79367936,1,1.1653359,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,50.0,0.2542823,0.28150365,0.08505882,-0.30179325,0.8648006,1,1.1665938,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,61.0,0.4175022,0.33815613,0.08525504,-0.24581316,0.92212546,1,1.1679386,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,74.0,0.4793484,0.40179712,0.08554138,-0.18315208,0.9867463,1,1.1698984,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,86.0,0.5983349,0.4569963,0.08589174,-0.12914953,1.0431421,1,1.1722916,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,101.0,0.6991984,0.51988584,0.086505964,-0.0683521,1.1081238,1,1.1764759,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,136.0,1.2027671,0.62649643,0.0891964,0.029181123,1.2238117,1,1.1946306,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1261,149.0,1.4056269,0.6482979,0.09144135,0.043512523,1.2530832,0,1.2095706,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,0.0,1.4484712,1.5732863,0.084906235,0.9905128,2.1560597,1,1.1655469,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,7.0,1.5590745,1.6636262,0.08483167,1.0811086,2.2461438,1,1.1650352,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,10.0,1.7095677,1.7022309,0.0848244,1.1197383,2.2847235,1,1.1649852,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,15.0,1.776403,1.766547,0.08483262,1.1840262,2.3490677,1,1.1650414,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,19.0,1.8482206,1.818118,0.084850624,1.2355354,2.4007006,1,1.1651652,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,25.0,2.0278158,1.8957816,0.08489175,1.3130579,2.4785054,1,1.1654475,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
002_S_1268,37.0,1.9282093,2.0533214,0.085013285,1.4701806,2.6364622,1,1.1662816,0.09667377,0.024307128,0.15590744,0.9739623801400841,0.98790497,1.1691047,17
